Consumption,LnPorn,Commit,Phys_Inf,Hook_Ups
1,0,4.5,0,0
3,0.47712125471966244,3.6666666666666665,2,0
2,0.3010299956639812,5,0,1
1,0,4,0,6
1,0,4.5,0,5
1,0,4.5,0,0
1,0,4.5,0,1
1,0,3.75,0,0
1,0,3.5,0,0
1,0,4.5,0,0
1,0,4.25,0,0
1,0,3.75,0,0
4,0.6020599913279624,3.75,2,6
1,0,4.5,2,1
1,0,3,0,3
1,0,4.75,0,0
1,0,4.75,0,0
3,0.47712125471966244,4,0,0
1,0,4,0,0
1,0,2.5,2,1
1,0,4.25,0,0
1,0,3.75,0,1
3,0.47712125471966244,4.75,0,0
3,0.47712125471966244,2.5,0,3
1,0,3.5,0,0
1,0,3.25,2,2
1,0,5,2,0
1,0,3.25,0,0
1,0,2.75,1,4
1,0,4.5,1,1
1,0,4.25,0,0
1,0,4,2,2
1,0,5,0,0
1,0,3.25,0,1
1,0,3.75,0,0
1,0,4.75,0,0
2,0.3010299956639812,4.75,0,0
3,0.47712125471966244,4.25,0,0
1,0,3,2,4
1,0,4.5,0,0
1,0,4.75,0,1
4,0.6020599913279624,3.25,0,1
1,0,5,0,0
1,0,3.5,0,0
1,0,4.75,0,1
1,0,5,0,0
3,0.47712125471966244,2.75,0,0
4,0.6020599913279624,2.25,0,0
1,0,4.25,2,1
1,0,4.25,0,0
1,0,5,0,0
3,0.47712125471966244,4,0,2
1,0,5,0,1
1,0,5,0,0
1,0,2.25,0,0
1,0,4.25,0,0
1,0,4,0,0
3,0.47712125471966244,4,2,0
3,0.47712125471966244,4.25,0,0
3,0.47712125471966244,4.5,0,0
3,0.47712125471966244,4.5,0,1
1,0,5,0,1
3,0.47712125471966244,4.75,0,0
4,0.6020599913279624,3.25,0,10
1,0,3,2,0
1,0,3.25,0,2
1,0,5,0,0
2,0.3010299956639812,5,0,1
1,0,4.25,1,1
1,0,3.75,0,0
1,0,1.75,2,2
1,0,3.75,0,0
3,0.47712125471966244,4.25,2,0
2,0.3010299956639812,3.5,0,1
1,0,5,0,0
1,0,5,0,0
1,0,3,0,1
2,0.3010299956639812,4.75,0,0
1,0,4,0,0
1,0,4.75,0,0
3,0.47712125471966244,4.25,0,1
1,0,3.75,2,2
1,0,4.75,0,1
3,0.47712125471966244,4.75,0,0
1,0,3.75,0,1
1,0,4.25,2,1
1,0,4.75,0,1
1,0,3.75,0,0
3,0.47712125471966244,3.5,0,2
1,0,4.25,0,2
1,0,4.75,0,0
2,0.3010299956639812,3,1,4
1,0,4.25,0,0
1,0,4.75,0,0
1,0,3.25,2,6
1,0,3.75,0,1
1,0,3,0,0
3,0.47712125471966244,4.75,0,0
1,0,4.5,0,0
1,0,3.5,0,1
1,0,5,0,0
1,0,5,2,0
1,0,5,0,0
1,0,4.5,0,1
1,0,4.75,0,0
1,0,4.75,0,0
1,0,4,0,0
1,0,4,0,0
1,0,4.5,0,0
1,0,3.75,0,1
3,0.47712125471966244,4.75,0,0
1,0,3.75,0,5
1,0,NA,0,0
1,0,3,1,0
3,0.47712125471966244,4.75,2,3
1,0,4,0,0
4,0.6020599913279624,5,0,1
1,0,3.25,0,0
1,0,3.75,0,0
1,0,5,0,0
1,0,5,0,0
6,0.7781512503836436,4,2,1
1,0,4.75,0,0
1,0,4.25,0,0
1,0,5,0,0
1,0,3.25,2,6
1,0,3.25,0,0
1,0,5,0,0
1,0,4.75,1,0
1,0,4,0,1
3,0.47712125471966244,3.75,2,4
2,0.3010299956639812,3,2,2
1,0,4.25,0,0
1,0,5,0,3
1,0,4.75,0,3
4,0.6020599913279624,3.75,0,0
3,0.47712125471966244,3,0,1
3,0.47712125471966244,5,0,0
1,0,4.5,0,1
1,0,1.75,2,2
2,0.3010299956639812,4.75,0,0
3,0.47712125471966244,4.5,0,0
1,0,5,0,0
1,0,4.25,0,0
3,0.47712125471966244,5,0,0
1,0,5,0,0
1,0,4.5,0,0
3,0.47712125471966244,3.5,0,1
1,0,5,0,0
1,0,3.75,0,1
1,0,4.25,0,0
2,0.3010299956639812,4.75,0,1
1,0,3.75,0,0
1,0,4.75,0,0
1,0,4.5,0,0
1,0,5,0,1
1,0,5,0,0
1,0,4.75,0,0
1,0,4.25,0,5
1,0,4.75,0,0
1,0,3.5,0,0
1,0,5,0,0
1,0,5,0,2
7,0.8450980400142568,5,2,3
1,0,3.25,0,6
1,0,5,0,1
1,0,3.5,0,0
4,0.6020599913279624,4,0,2
1,0,3.25,0,0
1,0,5,0,0
3,0.47712125471966244,4.75,0,0
3,0.47712125471966244,3.75,0,0
1,0,4.75,2,0
1,0,4.5,0,0
2,0.3010299956639812,3.5,2,8
1,0,3.25,0,3
1,0,3.75,0,0
3,0.47712125471966244,3.5,0,2
1,0,4.75,0,1
2,0.3010299956639812,5,0,0
3,0.47712125471966244,3.75,0,0
1,0,3.75,0,0
1,0,3.75,0,0
1,0,4.5,0,0
1,0,5,0,0
2,0.3010299956639812,4.75,0,1
1,0,4.75,0,0
1,0,5,0,1
1,0,3.25,0,0
1,0,5,0,0
3,0.47712125471966244,2.5,2,1
1,0,4.25,0,0
3,0.47712125471966244,3.5,0,1
1,0,4,0,0
1,0,4.75,0,0
5,0.6989700043360189,4.75,1,2
3,0.47712125471966244,3,2,5
1,0,4.25,0,0
1,0,3.5,0,0
5,0.6989700043360189,4.5,0,0
1,0,3.5,0,0
1,0,3.5,0,0
3,0.47712125471966244,3.25,0,4
1,0,4.25,0,0
7,0.8450980400142568,3.75,0,1
2,0.3010299956639812,4.75,0,0
1,0,4,0,1
1,0,2.75,0,0
1,0,3.75,0,0
2,0.3010299956639812,4.75,0,1
1,0,3.75,0,0
1,0,4.75,2,1
1,0,3.75,0,0
2,0.3010299956639812,4.5,0,1
1,0,4.75,0,0
1,0,4.333333333333333,0,0
1,0,5,0,0
5,0.6989700043360189,2.75,2,4
1,0,4.25,0,0
1,0,3.75,0,0
1,0,4.25,0,0
1,0,4.5,0,0
1,0,5,0,0
1,0,4.5,0,0
1,0,4.5,0,1
3,0.47712125471966244,2.5,0,0
1,0,4.5,0,0
1,0,4.5,0,1
1,0,4,0,0
1,0,4.75,0,0
1,0,4,0,0
5,0.6989700043360189,2.5,2,3
1,0,3.5,0,1
1,0,4.25,2,0
1,0,5,0,1
1,0,4.5,0,0
1,0,2.25,2,2
1,0,4.5,0,0
1,0,4.75,0,0
1,0,4.75,0,1
